en,extension,file,gen,id,length
Ash-throated Flycatcher,.mp3,https://xeno-canto.org/661736/download,Myiarchus,661736,6:07
Baird's Sandpiper,.mp3,https://xeno-canto.org/767039/download,Calidris,767039,0:05
Baird's Sandpiper,.mp3,https://xeno-canto.org/744638/download,Calidris,744638,0:00
Baird's Sandpiper,.mp3,https://xeno-canto.org/744637/download,Calidris,744637,0:05
Baird's Sandpiper,.mp3,https://xeno-canto.org/744636/download,Calidris,744636,0:04
Baird's Sandpiper,.mp3,https://xeno-canto.org/686881/download,Calidris,686881,0:10
Bald Eagle,.mp3,https://xeno-canto.org/779509/download,Haliaeetus,779509,1:04
Bald Eagle,.mp3,https://xeno-canto.org/769877/download,Haliaeetus,769877,0:10
Bald Eagle,.wav,https://xeno-canto.org/762165/download,Haliaeetus,762165,0:10
Bald Eagle,.mp3,https://xeno-canto.org/742968/download,Haliaeetus,742968,0:21
Bald Eagle,.mp3,https://xeno-canto.org/703906/download,Haliaeetus,703906,0:10
Baltimore Oriole,.mp3,https://xeno-canto.org/785762/download,Icterus,785762,0:38
Baltimore Oriole,.mp3,https://xeno-canto.org/777666/download,Icterus,777666,0:37
Baltimore Oriole,.mp3,https://xeno-canto.org/777665/download,Icterus,777665,1:20
Baltimore Oriole,.mp3,https://xeno-canto.org/733938/download,Icterus,733938,1:55
Baltimore Oriole,.mp3,https://xeno-canto.org/726803/download,Icterus,726803,0:06
Sand Martin,.mp3,https://xeno-canto.org/793955/download,Riparia,793955,0:39
Sand Martin,.wav,https://xeno-canto.org/793953/download,Riparia,793953,1:37
Sand Martin,.mp3,https://xeno-canto.org/792201/download,Riparia,792201,0:34
Sand Martin,.mp3,https://xeno-canto.org/792199/download,Riparia,792199,0:16
Sand Martin,.mp3,https://xeno-canto.org/792192/download,Riparia,792192,2:16
Barn Swallow,.wav,https://xeno-canto.org/791862/download,Hirundo,791862,0:10
Barn Swallow,.mp3,https://xeno-canto.org/784883/download,Hirundo,784883,0:43
Barn Swallow,.wav,https://xeno-canto.org/779619/download,Hirundo,779619,1:03
Barn Swallow,.wav,https://xeno-canto.org/773179/download,Hirundo,773179,2:28
Barn Swallow,.mp3,https://xeno-canto.org/770375/download,Hirundo,770375,0:50
Black-and-white Warbler,.wav,https://xeno-canto.org/792041/download,Mniotilta,792041,2:22
Black-and-white Warbler,.mp3,https://xeno-canto.org/712834/download,Mniotilta,712834,0:34
Black-and-white Warbler,.mp3,https://xeno-canto.org/695989/download,Mniotilta,695989,0:07
Black-and-white Warbler,.wav,https://xeno-canto.org/691571/download,Mniotilta,691571,1:33
Black-and-white Warbler,.mp3,https://xeno-canto.org/690970/download,Mniotilta,690970,1:34
Belted Kingfisher,.wav,https://xeno-canto.org/784913/download,Megaceryle,784913,0:25
Belted Kingfisher,.wav,https://xeno-canto.org/638295/download,Megaceryle,638295,1:34
Belted Kingfisher,.mp3,https://xeno-canto.org/628808/download,Megaceryle,628808,0:18
Belted Kingfisher,.mp3,https://xeno-canto.org/624472/download,Megaceryle,624472,0:27
Belted Kingfisher,.mp3,https://xeno-canto.org/624471/download,Megaceryle,624471,0:13
Bell's Sparrow,.wav,https://xeno-canto.org/791865/download,Artemisiospiza,791865,1:50
Bell's Sparrow,.mp3,https://xeno-canto.org/750416/download,Artemisiospiza,750416,3:35
Bell's Sparrow,.mp3,https://xeno-canto.org/750414/download,Artemisiospiza,750414,1:00
Bell's Sparrow,.mp3,https://xeno-canto.org/703539/download,Artemisiospiza,703539,1:30
Bell's Sparrow,.mp3,https://xeno-canto.org/703538/download,Artemisiospiza,703538,0:16
Bewick's Wren,.mp3,https://xeno-canto.org/794458/download,Thryomanes,794458,0:57
Bewick's Wren,.mp3,https://xeno-canto.org/788780/download,Thryomanes,788780,1:49
Bewick's Wren,.wav,https://xeno-canto.org/784043/download,Thryomanes,784043,0:46
Bewick's Wren,.mp3,https://xeno-canto.org/782421/download,Thryomanes,782421,0:11
Bewick's Wren,.wav,https://xeno-canto.org/781280/download,Thryomanes,781280,1:13
Black-billed Cuckoo,.mp3,https://xeno-canto.org/690971/download,Coccyzus,690971,1:09
Black-billed Cuckoo,.mp3,https://xeno-canto.org/658514/download,Coccyzus,658514,5:30
Black-billed Cuckoo,.mp3,https://xeno-canto.org/641682/download,Coccyzus,641682,1:31
Black-billed Cuckoo,.mp3,https://xeno-canto.org/641675/download,Coccyzus,641675,0:53
Black-billed Cuckoo,.mp3,https://xeno-canto.org/658513/download,Coccyzus,658513,3:06
Black-billed Magpie,.mp3,https://xeno-canto.org/778435/download,Pica,778435,1:02
Black-billed Magpie,.mp3,https://xeno-canto.org/742851/download,Pica,742851,0:28
Black-billed Magpie,.mp3,https://xeno-canto.org/742850/download,Pica,742850,0:27
Black-billed Magpie,.mp3,https://xeno-canto.org/742849/download,Pica,742849,1:36
Black-billed Magpie,.mp3,https://xeno-canto.org/614155/download,Pica,614155,0:41
Blackburnian Warbler,.mp3,https://xeno-canto.org/764491/download,Setophaga,764491,0:51
Blackburnian Warbler,.mp3,https://xeno-canto.org/727093/download,Setophaga,727093,0:06
Blackburnian Warbler,.mp3,https://xeno-canto.org/690976/download,Setophaga,690976,1:22
Blackburnian Warbler,.mp3,https://xeno-canto.org/690975/download,Setophaga,690975,1:13
Blackburnian Warbler,.mp3,https://xeno-canto.org/690974/download,Setophaga,690974,1:06
Black-capped Chickadee,.mp3,https://xeno-canto.org/787957/download,Poecile,787957,0:47
Black-capped Chickadee,.wav,https://xeno-canto.org/781970/download,Poecile,781970,5:12
Black-capped Chickadee,.wav,https://xeno-canto.org/776149/download,Poecile,776149,2:48
Black-capped Chickadee,.mp3,https://xeno-canto.org/757915/download,Poecile,757915,0:48
Black-capped Chickadee,.mp3,https://xeno-canto.org/757914/download,Poecile,757914,0:36
Black-chinned Hummingbird,.mp3,https://xeno-canto.org/775766/download,Archilochus,775766,0:06
Black-chinned Hummingbird,.mp3,https://xeno-canto.org/691650/download,Archilochus,691650,0:00
Black-chinned Hummingbird,.mp3,https://xeno-canto.org/772071/download,Archilochus,772071,0:04
Black-headed Grosbeak,.mp3,https://xeno-canto.org/771215/download,Pheucticus,771215,4:07
Black-headed Grosbeak,.mp3,https://xeno-canto.org/771213/download,Pheucticus,771213,0:49
Black-headed Grosbeak,.mp3,https://xeno-canto.org/771206/download,Pheucticus,771206,0:34
Black-headed Grosbeak,.mp3,https://xeno-canto.org/771205/download,Pheucticus,771205,0:09
Black-headed Grosbeak,.mp3,https://xeno-canto.org/771204/download,Pheucticus,771204,6:28
Blackpoll Warbler,.mp3,https://xeno-canto.org/724648/download,Setophaga,724648,4:37
Blackpoll Warbler,.mp3,https://xeno-canto.org/690983/download,Setophaga,690983,1:25
Blackpoll Warbler,.mp3,https://xeno-canto.org/670583/download,Setophaga,670583,0:56
Blackpoll Warbler,.mp3,https://xeno-canto.org/639259/download,Setophaga,639259,0:32
Blackpoll Warbler,.mp3,https://xeno-canto.org/637129/download,Setophaga,637129,0:56
Black-throated Sparrow,.mp3,https://xeno-canto.org/785639/download,Amphispiza,785639,0:04
Black-throated Sparrow,.wav,https://xeno-canto.org/779681/download,Amphispiza,779681,1:24
Black-throated Sparrow,.mp3,https://xeno-canto.org/776179/download,Amphispiza,776179,1:35
Black-throated Sparrow,.mp3,https://xeno-canto.org/736299/download,Amphispiza,736299,0:36
Black-throated Sparrow,.mp3,https://xeno-canto.org/736139/download,Amphispiza,736139,3:54
Black Phoebe,.mp3,https://xeno-canto.org/791415/download,Sayornis,791415,0:25
Black Phoebe,.mp3,https://xeno-canto.org/754227/download,Sayornis,754227,0:32
Black Phoebe,.mp3,https://xeno-canto.org/665525/download,Sayornis,665525,0:41
Black Phoebe,.mp3,https://xeno-canto.org/632219/download,Sayornis,632219,2:39
Black Phoebe,.mp3,https://xeno-canto.org/624591/download,Sayornis,624591,0:03
Glaucous-blue Grosbeak,.mp3,https://xeno-canto.org/686575/download,Cyanoloxia,686575,2:11
Glaucous-blue Grosbeak,.mp3,https://xeno-canto.org/686573/download,Cyanoloxia,686573,0:57
Glaucous-blue Grosbeak,.mp3,https://xeno-canto.org/686342/download,Cyanoloxia,686342,0:06
Glaucous-blue Grosbeak,.mp3,https://xeno-canto.org/789152/download,Cyanoloxia,789152,0:05
Glaucous-blue Grosbeak,.mp3,https://xeno-canto.org/658069/download,Cyanoloxia,658069,0:14
Blue Jay,.mp3,https://xeno-canto.org/792176/download,Cyanocitta,792176,0:51
Blue Jay,.wav,https://xeno-canto.org/760145/download,Cyanocitta,760145,0:24
Blue Jay,.wav,https://xeno-canto.org/760144/download,Cyanocitta,760144,0:10
Blue Jay,.mp3,https://xeno-canto.org/754448/download,Cyanocitta,754448,2:12
Blue Jay,.mp3,https://xeno-canto.org/747012/download,Cyanocitta,747012,0:34
Brown-headed Cowbird,.wav,https://xeno-canto.org/782167/download,Molothrus,782167,0:22
Brown-headed Cowbird,.mp3,https://xeno-canto.org/781952/download,Molothrus,781952,0:44
Brown-headed Cowbird,.mp3,https://xeno-canto.org/774528/download,Molothrus,774528,1:38
Brown-headed Cowbird,.mp3,https://xeno-canto.org/767189/download,Molothrus,767189,3:09
Brown-headed Cowbird,.mp3,https://xeno-canto.org/767182/download,Molothrus,767182,0:44
Bobolink,.mp3,https://xeno-canto.org/729869/download,Dolichonyx,729869,0:49
Bobolink,.mp3,https://xeno-canto.org/726835/download,Dolichonyx,726835,1:00
Bobolink,.mp3,https://xeno-canto.org/691174/download,Dolichonyx,691174,1:00
Bobolink,.mp3,https://xeno-canto.org/685638/download,Dolichonyx,685638,0:10
Bobolink,.mp3,https://xeno-canto.org/682256/download,Dolichonyx,682256,0:17
Bonaparte's Gull,.mp3,https://xeno-canto.org/668850/download,Chroicocephalus,668850,0:05
Bonaparte's Gull,.mp3,https://xeno-canto.org/668849/download,Chroicocephalus,668849,0:10
Bonaparte's Gull,.mp3,https://xeno-canto.org/686188/download,Chroicocephalus,686188,0:08
Bonaparte's Gull,.wav,https://xeno-canto.org/773448/download,Chroicocephalus,773448,0:01
Bonaparte's Gull,.wav,https://xeno-canto.org/773447/download,Chroicocephalus,773447,0:01
Asian Barred Owlet,.wav,https://xeno-canto.org/782088/download,Glaucidium,782088,0:11
Asian Barred Owlet,.mp3,https://xeno-canto.org/739112/download,Glaucidium,739112,0:56
Asian Barred Owlet,.mp3,https://xeno-canto.org/734007/download,Glaucidium,734007,0:04
Asian Barred Owlet,.mp3,https://xeno-canto.org/720539/download,Glaucidium,720539,0:08
Asian Barred Owlet,.mp3,https://xeno-canto.org/718278/download,Glaucidium,718278,0:25
Brewer's Blackbird,.mp3,https://xeno-canto.org/764039/download,Euphagus,764039,4:08
Brewer's Blackbird,.mp3,https://xeno-canto.org/749858/download,Euphagus,749858,0:48
Brewer's Blackbird,.mp3,https://xeno-canto.org/749022/download,Euphagus,749022,0:36
Brewer's Blackbird,.mp3,https://xeno-canto.org/714444/download,Euphagus,714444,1:42
Brewer's Blackbird,.mp3,https://xeno-canto.org/691791/download,Euphagus,691791,0:41
Brewer's Sparrow,.wav,https://xeno-canto.org/790038/download,Spizella,790038,0:53
Brewer's Sparrow,.wav,https://xeno-canto.org/782129/download,Spizella,782129,0:05
Brewer's Sparrow,.wav,https://xeno-canto.org/776741/download,Spizella,776741,2:20
Brewer's Sparrow,.mp3,https://xeno-canto.org/749706/download,Spizella,749706,1:16
Brewer's Sparrow,.mp3,https://xeno-canto.org/703922/download,Spizella,703922,1:08
Brown Creeper,.mp3,https://xeno-canto.org/783576/download,Certhia,783576,0:32
Brown Creeper,.wav,https://xeno-canto.org/782085/download,Certhia,782085,0:41
Brown Creeper,.wav,https://xeno-canto.org/781941/download,Certhia,781941,0:41
Brown Creeper,.mp3,https://xeno-canto.org/749409/download,Certhia,749409,0:03
Brown Creeper,.mp3,https://xeno-canto.org/744286/download,Certhia,744286,1:03
Brown Thrasher,.mp3,https://xeno-canto.org/785882/download,Toxostoma,785882,1:36
Brown Thrasher,.mp3,https://xeno-canto.org/776518/download,Toxostoma,776518,0:28
Brown Thrasher,.mp3,https://xeno-canto.org/648126/download,Toxostoma,648126,3:17
Brown Thrasher,.mp3,https://xeno-canto.org/790529/download,Toxostoma,790529,2:20
Brown Thrasher,.mp3,https://xeno-canto.org/790528/download,Toxostoma,790528,3:28
Broad-tailed Hummingbird,.mp3,https://xeno-canto.org/777791/download,Selasphorus,777791,0:38
Broad-tailed Hummingbird,.mp3,https://xeno-canto.org/626758/download,Selasphorus,626758,0:04
Broad-tailed Hummingbird,.mp3,https://xeno-canto.org/778468/download,Selasphorus,778468,0:52
Broad-tailed Hummingbird,.mp3,https://xeno-canto.org/665664/download,Selasphorus,665664,0:39
Broad-tailed Hummingbird,.mp3,https://xeno-canto.org/665663/download,Selasphorus,665663,0:37
Broad-winged Hawk,.wav,https://xeno-canto.org/760684/download,Buteo,760684,0:05
Broad-winged Hawk,.wav,https://xeno-canto.org/752683/download,Buteo,752683,0:26
Broad-winged Hawk,.mp3,https://xeno-canto.org/737990/download,Buteo,737990,0:22
Broad-winged Hawk,.mp3,https://xeno-canto.org/714086/download,Buteo,714086,3:57
Broad-winged Hawk,.mp3,https://xeno-canto.org/691176/download,Buteo,691176,2:50
Black-throated Blue Warbler,.mp3,https://xeno-canto.org/703601/download,Setophaga,703601,0:04
Black-throated Blue Warbler,.mp3,https://xeno-canto.org/690996/download,Setophaga,690996,1:15
Black-throated Blue Warbler,.mp3,https://xeno-canto.org/690995/download,Setophaga,690995,1:11
Black-throated Blue Warbler,.mp3,https://xeno-canto.org/690993/download,Setophaga,690993,1:17
Black-throated Blue Warbler,.mp3,https://xeno-canto.org/690991/download,Setophaga,690991,1:56
Black-throated Green Warbler,.wav,https://xeno-canto.org/794031/download,Setophaga,794031,0:50
Black-throated Green Warbler,.wav,https://xeno-canto.org/775110/download,Setophaga,775110,0:47
Black-throated Green Warbler,.mp3,https://xeno-canto.org/719921/download,Setophaga,719921,0:31
Black-throated Green Warbler,.mp3,https://xeno-canto.org/691157/download,Setophaga,691157,1:27
Black-throated Green Warbler,.mp3,https://xeno-canto.org/691156/download,Setophaga,691156,1:03
Black-throated Grey Warbler,.mp3,https://xeno-canto.org/780517/download,Setophaga,780517,2:16
Black-throated Grey Warbler,.mp3,https://xeno-canto.org/737552/download,Setophaga,737552,0:49
Black-throated Grey Warbler,.mp3,https://xeno-canto.org/731213/download,Setophaga,731213,0:51
Black-throated Grey Warbler,.mp3,https://xeno-canto.org/715990/download,Setophaga,715990,1:11
Black-throated Grey Warbler,.mp3,https://xeno-canto.org/700977/download,Setophaga,700977,0:06
Bufflehead,.mp3,https://xeno-canto.org/710475/download,Bucephala,710475,2:37
Bufflehead,.mp3,https://xeno-canto.org/628459/download,Bucephala,628459,0:07
Bufflehead,.wav,https://xeno-canto.org/764686/download,Bucephala,764686,0:07
Bufflehead,.wav,https://xeno-canto.org/764685/download,Bucephala,764685,0:14
Bufflehead,.mp3,https://xeno-canto.org/611252/download,Bucephala,611252,0:20
Blue-grey Gnatcatcher,.wav,https://xeno-canto.org/764152/download,Polioptila,764152,0:46
Blue-grey Gnatcatcher,.mp3,https://xeno-canto.org/730183/download,Polioptila,730183,0:20
Blue-grey Gnatcatcher,.mp3,https://xeno-canto.org/726192/download,Polioptila,726192,0:30
Blue-grey Gnatcatcher,.mp3,https://xeno-canto.org/717630/download,Polioptila,717630,0:35
Blue-grey Gnatcatcher,.mp3,https://xeno-canto.org/717627/download,Polioptila,717627,0:46
Blue-headed Vireo,.mp3,https://xeno-canto.org/792802/download,Vireo,792802,0:36
Blue-headed Vireo,.mp3,https://xeno-canto.org/787066/download,Vireo,787066,1:03
Blue-headed Vireo,.mp3,https://xeno-canto.org/743175/download,Vireo,743175,0:52
Blue-headed Vireo,.mp3,https://xeno-canto.org/720361/download,Vireo,720361,0:46
Blue-headed Vireo,.mp3,https://xeno-canto.org/718698/download,Vireo,718698,0:25
Bullock's Oriole,.mp3,https://xeno-canto.org/772609/download,Icterus,772609,5:41
Bullock's Oriole,.mp3,https://xeno-canto.org/714515/download,Icterus,714515,1:04
Bullock's Oriole,.mp3,https://xeno-canto.org/665645/download,Icterus,665645,0:31
Bullock's Oriole,.mp3,https://xeno-canto.org/661902/download,Icterus,661902,1:22
Bullock's Oriole,.mp3,https://xeno-canto.org/661901/download,Icterus,661901,11:52
American Bushtit,.wav,https://xeno-canto.org/757507/download,Psaltriparus,757507,0:23
American Bushtit,.mp3,https://xeno-canto.org/731942/download,Psaltriparus,731942,0:19
American Bushtit,.mp3,https://xeno-canto.org/702490/download,Psaltriparus,702490,0:13
American Bushtit,.mp3,https://xeno-canto.org/697596/download,Psaltriparus,697596,0:11
American Bushtit,.mp3,https://xeno-canto.org/683414/download,Psaltriparus,683414,0:26
Blue-winged Teal,.mp3,https://xeno-canto.org/745966/download,Spatula,745966,0:22
Blue-winged Teal,.mp3,https://xeno-canto.org/617750/download,Spatula,617750,0:18
Blue-winged Teal,.mp3,https://xeno-canto.org/716047/download,Spatula,716047,0:07
Blue-winged Teal,.mp3,https://xeno-canto.org/716046/download,Spatula,716046,1:48
Blue-winged Teal,.mp3,https://xeno-canto.org/707505/download,Spatula,707505,1:00
Blue-winged Warbler,.mp3,https://xeno-canto.org/697904/download,Vermivora,697904,1:11
Blue-winged Warbler,.mp3,https://xeno-canto.org/691173/download,Vermivora,691173,2:28
Blue-winged Warbler,.mp3,https://xeno-canto.org/729073/download,Vermivora,729073,3:27
Blue-winged Warbler,.mp3,https://xeno-canto.org/690250/download,Vermivora,690250,0:44
Blue-winged Warbler,.mp3,https://xeno-canto.org/650433/download,Vermivora,650433,0:02
Cactus Wren,.wav,https://xeno-canto.org/785745/download,Campylorhynchus,785745,1:09
Cactus Wren,.mp3,https://xeno-canto.org/785636/download,Campylorhynchus,785636,0:08
Cactus Wren,.mp3,https://xeno-canto.org/785635/download,Campylorhynchus,785635,0:54
Cactus Wren,.mp3,https://xeno-canto.org/785365/download,Campylorhynchus,785365,0:20
Cactus Wren,.mp3,https://xeno-canto.org/781286/download,Campylorhynchus,781286,2:33
California Quail,.mp3,https://xeno-canto.org/725969/download,Callipepla,725969,3:13
California Quail,.mp3,https://xeno-canto.org/717539/download,Callipepla,717539,1:50
California Quail,.mp3,https://xeno-canto.org/714446/download,Callipepla,714446,1:13
California Quail,.mp3,https://xeno-canto.org/662041/download,Callipepla,662041,4:30
California Quail,.mp3,https://xeno-canto.org/662032/download,Callipepla,662032,0:59
Cape May Warbler,.wav,https://xeno-canto.org/784610/download,Setophaga,784610,0:48
Cape May Warbler,.mp3,https://xeno-canto.org/784609/download,Setophaga,784609,1:47
Cape May Warbler,.mp3,https://xeno-canto.org/775658/download,Setophaga,775658,0:03
Cape May Warbler,.mp3,https://xeno-canto.org/726842/download,Setophaga,726842,0:25
Cape May Warbler,.mp3,https://xeno-canto.org/784617/download,Setophaga,784617,0:29
Canada Goose,.mp3,https://xeno-canto.org/792724/download,Branta,792724,0:27
Canada Goose,.wav,https://xeno-canto.org/792552/download,Branta,792552,1:19
Canada Goose,.wav,https://xeno-canto.org/792016/download,Branta,792016,1:42
Canada Goose,.wav,https://xeno-canto.org/789046/download,Branta,789046,0:04
Canada Goose,.wav,https://xeno-canto.org/787558/download,Branta,787558,0:19
Canada Warbler,.mp3,https://xeno-canto.org/784637/download,Cardellina,784637,1:09
Canada Warbler,.mp3,https://xeno-canto.org/691184/download,Cardellina,691184,0:31
Canada Warbler,.mp3,https://xeno-canto.org/691183/download,Cardellina,691183,2:05
Canada Warbler,.mp3,https://xeno-canto.org/691182/download,Cardellina,691182,1:16
Canada Warbler,.mp3,https://xeno-canto.org/691181/download,Cardellina,691181,1:35
Canyon Wren,.mp3,https://xeno-canto.org/794354/download,Catherpes,794354,0:35
Canyon Wren,.mp3,https://xeno-canto.org/782426/download,Catherpes,782426,0:18
Canyon Wren,.mp3,https://xeno-canto.org/782425/download,Catherpes,782425,0:56
Canyon Wren,.mp3,https://xeno-canto.org/781305/download,Catherpes,781305,4:26
Canyon Wren,.mp3,https://xeno-canto.org/781304/download,Catherpes,781304,0:30
Carolina Wren,.mp3,https://xeno-canto.org/793702/download,Thryothorus,793702,1:58
Carolina Wren,.mp3,https://xeno-canto.org/793225/download,Thryothorus,793225,0:24
Carolina Wren,.wav,https://xeno-canto.org/792591/download,Thryothorus,792591,0:25
Carolina Wren,.mp3,https://xeno-canto.org/792351/download,Thryothorus,792351,0:40
Carolina Wren,.wav,https://xeno-canto.org/772283/download,Thryothorus,772283,0:34
Cassin's Finch,.mp3,https://xeno-canto.org/748350/download,Haemorhous,748350,1:08
Cassin's Finch,.mp3,https://xeno-canto.org/658084/download,Haemorhous,658084,1:13
Cassin's Finch,.mp3,https://xeno-canto.org/621695/download,Haemorhous,621695,0:58
Cassin's Finch,.mp3,https://xeno-canto.org/736569/download,Haemorhous,736569,0:56
Cassin's Finch,.mp3,https://xeno-canto.org/736430/download,Haemorhous,736430,0:11
Caspian Tern,.wav,https://xeno-canto.org/794331/download,Hydroprogne,794331,2:20
Caspian Tern,.mp3,https://xeno-canto.org/791648/download,Hydroprogne,791648,0:41
Caspian Tern,.wav,https://xeno-canto.org/791156/download,Hydroprogne,791156,1:04
Caspian Tern,.mp3,https://xeno-canto.org/783465/download,Hydroprogne,783465,0:25
Caspian Tern,.mp3,https://xeno-canto.org/783464/download,Hydroprogne,783464,0:08
Cassin's Vireo,.wav,https://xeno-canto.org/784133/download,Vireo,784133,0:43
Cassin's Vireo,.mp3,https://xeno-canto.org/779674/download,Vireo,779674,8:05
Cassin's Vireo,.wav,https://xeno-canto.org/766384/download,Vireo,766384,0:17
Cassin's Vireo,.mp3,https://xeno-canto.org/753158/download,Vireo,753158,0:31
Cassin's Vireo,.mp3,https://xeno-canto.org/753157/download,Vireo,753157,0:26
Cedar Waxwing,.wav,https://xeno-canto.org/771668/download,Bombycilla,771668,0:17
Cedar Waxwing,.mp3,https://xeno-canto.org/663227/download,Bombycilla,663227,2:24
Cedar Waxwing,.mp3,https://xeno-canto.org/641547/download,Bombycilla,641547,0:08
Cedar Waxwing,.mp3,https://xeno-canto.org/634982/download,Bombycilla,634982,1:14
Cedar Waxwing,.mp3,https://xeno-canto.org/616703/download,Bombycilla,616703,0:29
Chipping Sparrow,.mp3,https://xeno-canto.org/737164/download,Spizella,737164,1:56
Chipping Sparrow,.mp3,https://xeno-canto.org/737163/download,Spizella,737163,1:01
Chipping Sparrow,.mp3,https://xeno-canto.org/729075/download,Spizella,729075,0:03
Chipping Sparrow,.mp3,https://xeno-canto.org/729074/download,Spizella,729074,0:06
Chipping Sparrow,.mp3,https://xeno-canto.org/702348/download,Spizella,702348,1:27
Chimney Swift,.mp3,https://xeno-canto.org/738283/download,Chaetura,738283,1:31
Chimney Swift,.mp3,https://xeno-canto.org/636190/download,Chaetura,636190,0:03
